corrupted,correct
CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C[N+](C)(C)CC(O)CC(=O),C[N+](C)(C)CC(O)CC(=O)O
Nc1c(O)cccc1CCl(=O)O,Nc1c(O)cccc1C(=O)O
Nc1c(O)cccc1(=O)O,Nc1c(O)cccc1C(=O)O
Nc1c(O)Ncccc1C(O)O,Nc1c(O)cccc1C(=O)O
CC(CO)C(=O),CC(CO)C(=O)O
C(CO)C(O=O)O,CC(CO)C(=O)O
CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnP32)C(O)C1OP(=O)(O)O,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(CO)C(=O)SCCNC(O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1P(=O)(O)O,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
Nc1c(O)cccc1C(=O)CC(N)C(=O),Nc1c(O)cccc1C(=O)CC(N)C(=O)O
Nc1c(O2cccc1C(==Cl()CCN)C(OO)O,Nc1c(O)cccc1C(=O)CC(N)C(=O)O
Nc1c(O)cccc1PC(=O)CC(N)C(=O)O,Nc1c(O)cccc1C(=O)CC(N)C(=O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(=)ncnc32)C(O)C1OP(=O((O)O)C(O)C(=O)NCCC(=O)NCCSC)=O)CC(O)CCC(=O)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC(=O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC=O)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC(=O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC(=O),CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)CCC(=O)O
O=C(O)Cc1cccc(O)c1,O=C(O)CCc1cccc(O)c1
O=C(O)CCcccccc(O)11,O=C(O)CCc1cccc(O)c1
O=C(O)CCc1cccc(O)c,O=C(O)CCc1cccc(O)c1
C(CC1=O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,C=CC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
C=CC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc,C=CC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
O=C(OC)CCC(=O)CC(=O)O,O=C(O)CCC(=O)CC(=O)O
O=C(O)CCC(=O)CC(=O),O=C(O)CCC(=O)CC(=O)O
O=C(O)CCC(=O)CC(Cl=O)O,O=C(O)CCC(=O)CC(=O)O
CC(C)(NCOP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O
CC(C)(COP(=O)(O)OP(=)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O
O=1C(O)C)CO)OC(OC2C(CO)OC(O)C(ClO(C2O)C1O,O=C1C(O)C(CO)OC(OC2C(CO)OC(O)C(O)C2O)C1O
O=C1C(O)C(CO)OC(OC2=C(CO)OC(O)C(O)C2O)C1O,O=C1C(O)C(CO)OC(OC2C(CO)OC(O)C(O)C2O)C1O
O=C1C(OCC(CO)OC(OC2C()O)OC(O)C(O)C2O)C1O,O=C1C(O)C(CO)OC(OC2C(CO)OC(O)C(O)C2O)C1O
O=C(O)C=(O)CS,O=C(O)C(=O)CS
O=C(O)C(=O1CS,O=C(O)C(=O)CS
Br=C(O)C(=OC=S,O=C(O)C(=O)CS
CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)C=P(=O)(O)OP(=O)(O)OCC1OC(On2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1CCC2C3C(O)CC4CC(=O)CCC14(C)C3CC(O)C12C,CC(CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C
CC(CCC(=OCSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC)1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C,CC(CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C
