corrupted,correct
O=C(O)ClC(CO)OP(=O)(O)O,O=C(O)C(CO)OP(=O)(O)O
O=C(O)C(CO)P(=O)(O)O,O=C(O)C(CO)OP(=O)(O)O
(=CO)COCO)OP(=O)(O)O,O=C(O)C(CO)OP(=O)(O)O
CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1,CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1,CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1,CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
O=C(O)C(COP)=O)(O)O)OP(=O((C)O,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
OP)C(O)C(COP((O=(O)O)OP(=O)(O)O,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
O=C(O)C(COP(=O)(O)O)OP(=O)(O),O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
OC1C=C(Cl)C(Cl)C=C1,OC1C=C(Cl)C(Cl)C=C1Cl
OC=C=C(Cl)C(Cl)C11Cl,OC1C=C(Cl)C(Cl)C=C1Cl
OC1C=C(ClO)C(Cl)C=C1Cl,OC1C=C(Cl)C(Cl)C=C1Cl
CC(N)CC(N)C(=O),CC(N)CC(N)C(=O)O
CC(N)C1C(N)C(=O)O,CC(N)CC(N)C(=O)O
CC(N)CC(N)C(=O),CC(N)CC(N)C(=O)O
OC1C=C(Cl)C(O)C=C1,OC1C=C(Cl)C(O)C=C1Cl
OC1C=C(Cl)C(2O)=C1Cl,OC1C=C(Cl)C(O)C=C1Cl
OC1C=C(Cl)C(=)C=C1Cl,OC1C=C(Cl)C(O)C=C1Cl
Oc1cc(Cl)cP(O)cc1Cl,Oc1cc(Cl)c(O)cc1Cl
Oc1cc(Cl)c(ON)cc1Cl,Oc1cc(Cl)c(O)cc1Cl
Oc1cc(Cl)c(O)cc1,Oc1cc(Cl)c(O)cc1Cl
Oc1cc(Cl)cc11Cl,Oc1cc(Cl)ccc1Cl
Occcc(Cl)c1c1Cl,Oc1cc(Cl)ccc1Cl
Oc1cc(Cl)ccc(,Oc1cc(Cl)ccc1Cl
O=C(O)C(=O)C(O)C(O)C(=O)C,O=C(O)C(=O)C(O)C(O)C(=O)CO
O=C(O)C(=O)C(O)C(O)C(=O)C,O=C(O)C(=O)C(O)C(O)C(=O)CO
O=C(O)C(=O)C(O)C(O)C(=O)C,O=C(O)C(=O)C(O)C(O)C(=O)CO
CC1(CO)OP(=O)(O)OP(=O)(O)OCC1,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
CC1(COPOP(=O(O)OP(=O)(O)OCC1O,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
CC1(CO)OP(=O)(O1OP(=O)(O)OCC1O,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
CO(=O)C=CC=C(C)C(=O)O),CC(=O)C=CC=C(O)C(=O)O
=C(=O)C=CCCC(O)C(=O)O,CC(=O)C=CC=C(O)C(=O)O
CC(=O)C=CC=C(O)C(=O),CC(=O)C=CC=C(O)C(=O)O
CC(C)CC(=O)C(O)O,CC(C)CC(=O)C(=O)O
CC(C)C=(=O)C(=O)C,CC(C)CC(=O)C(=O)O
CC(C)CC(=O)C(=O),CC(C)CC(=O)C(=O)O
O=OC(O)CCC(=O)CBr=O)O,O=C(O)CCCC(=O)C(=O)O
O=C(O)CCCC(=O)C(=O),O=C(O)CCCC(=O)C(=O)O
O=Br(O)CCCC(=O)C(=O)O,O=C(O)CCCC(=O)C(=O)O
O=)C(O)c1ccc(O)c(O)c1,O=C(O)c1ccc(O)c(O)c1
O=C(O)c1ccc(O)c(O)cN1,O=C(O)c1ccc(O)c(O)c1
O=C(O)c1ccc(O)c(O)=1,O=C(O)c1ccc(O)c(O)c1
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
Nc1ncnc2c1n1cn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)Br1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O
CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)1C(O)C1OP(=O)(O)O,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O),CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
CC(=O)CC(=)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=P)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
NCCC=,NCCC=O
NCCC=,NCCC=O
NCCC=,NCCC=O
CC12CCC3C(CC=C4CC(O)CCSC43C)C1CCC2=O,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
CC12CC3C(CC=C4CC(O)CCC43C)C1CCC2=O,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
CC(C)C(O)(CC(=O)O)C(=OO)O,CC(C)C(O)(CC(=O)O)C(=O)O
CC(C)C(O)(CC(=O)O)C(=O),CC(C)C(O)(CC(=O)O)C(=O)O
CC(C)C(O)(CC(=O)O)C(=O),CC(C)C(O)(CC(=O)O)C(=O)O
NC(CCl)C(=O),NC(CCl)C(=O)O
NC(CCl)C(=O),NC(CCl)C(=O)O
ClC(CN)C(=O)O,NC(CCl)C(=O)O
N#Cc1cccNc1,N#Cc1cccnc1
N#Cc1cNcnc1,N#Cc1cccnc1
Cl#Cc1cccnc1,N#Cc1cccnc1
O=C1O)C1=CC(=O)C(O)C(O)C1,O=C(O)C1=CC(=O)C(O)C(O)C1
O=C(O)C1=C(=O)C(O)C(O)C1,O=C(O)C1=CC(=O)C(O)C(O)C1
O=C(C)O1=CC(=O)C(O)C(O)C1,O=C(O)C1=CC(=O)C(O)C(O)C1
O=C(O)C(=O)CC(O)C(S)C(O)CO(=PO)(O)O,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O),O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
O=C(O)C(=O)CC(O)C(O)C(S)COP(=O)(O)O,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O),C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O
